                                                      Productions          |   program                                                                 |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   geq                                                                     |   get                                                                     |   [                                                                       |   ]                                                                       |   sr                                                                      |   intNum                                                                  |   {                                                                       |   }                                                                       |   return                                                                  |   lt                                                                      |   float                                                                   |   neq                                                                     |   eq                                                                      |   for                                                                     |   not                                                                     |   and                                                                     |   class                                                                   |   or                                                                      |   gt                                                                      |   int                                                                     |

                                                          funcDef          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDef => [funcHead, funcBody, ;]                                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDef => [funcHead, funcBody, ;]                                      |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcDef => [funcHead, funcBody, ;]                                      |

                                                      aParamsTail          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   aParamsTail => [,, expr]                                                |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                             funcHeadOptionFactor          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcHeadOptionFactor => [id, funcHeadOption]                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                         assignOp          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   assignOp => [=]                                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                       varDeclPre          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclPre => [funcDecl]                                                |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclPre => [arraySizeRepeat, ;, varDeclfuncDecl]                     |                                                                           |                                                                           |                                                                           |                                                                           |   varDeclPre => [arraySizeRepeat, ;, varDeclfuncDecl]                     |   varDeclPre => [arraySizeRepeat, ;, varDeclfuncDecl]                     |                                                                           |                                                                           |                                                                           |   varDeclPre => [arraySizeRepeat, ;, varDeclfuncDecl]                     |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                   funcHeadOption          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcHeadOption => [EPSILON]                                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcHeadOption => [sr, id]                                              |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                          fParams          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParams => [typeId, arraySizeRepeat, fParamsTailRepeat]                 |                                                                           |                                                                           |   fParams => [EPSILON]                                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParams => [typeId, arraySizeRepeat, fParamsTailRepeat]                 |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParams => [typeId, arraySizeRepeat, fParamsTailRepeat]                 |

                                               vadrsTypeStatement          |                                                                           |   vadrsTypeStatement => [put, (, expr, ), ;]                              |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsTypeStatement => [if, (, expr, ), then, statBlock, else, statBlock, ;]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsTypeStatement => [get, (, variableFactor, ), ;]                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsTypeStatement => [return, (, expr, ), ;]                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsTypeStatement => [for, (, typeId, assignOp, expr, ;, relExpr, ;, assignStat, ), statBlock, ;]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                        statBlock          |                                                                           |   statBlock => [statement]                                                |                                                                           |   statBlock => [EPSILON]                                                  |                                                                           |   statBlock => [statement]                                                |   statBlock => [statement]                                                |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statBlock => [EPSILON]                                                  |                                                                           |                                                                           |                                                                           |   statBlock => [statement]                                                |                                                                           |                                                                           |                                                                           |                                                                           |   statBlock => [{, statementRepeat, }]                                    |                                                                           |   statBlock => [statement]                                                |                                                                           |                                                                           |                                                                           |                                                                           |   statBlock => [statement]                                                |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                          termMod          |                                                                           |                                                                           |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [multOp, factor, termMod]                                    |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |                                                                           |   termMod => [multOp, factor, termMod]                                    |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |   termMod => [multOp, factor, termMod]                                    |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |                                                                           |

                                                fParamsTailRepeat          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParamsTailRepeat => [EPSILON]                                          |                                                                           |                                                                           |                                                                           |   fParamsTailRepeat => [fParamsTail, fParamsTailRepeat]                   |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                              vadrsType0Statement          |                                                                           |                                                                           |   vadrsType0Statement => [vadrsType03]                                    |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType0Statement => [vadrsType02]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType0Statement => [vadrsType03]                                    |                                                                           |                                                                           |                                                                           |   vadrsType0Statement => [vadrsType03]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   vadrsType0Statement => [vadrsType03]                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                  classDeclOption          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   classDeclOption => [:, id, classDeclOptionRepeat]                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   classDeclOption => [EPSILON]                                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                        statement          |                                                                           |   statement => [put, (, expr, ), ;]                                       |                                                                           |                                                                           |                                                                           |   statement => [assignStat, ;]                                            |   statement => [if, (, expr, ), then, statBlock, else, statBlock, ;]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statement => [get, (, variableFactor, ), ;]                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statement => [return, (, expr, ), ;]                                    |                                                                           |                                                                           |                                                                           |                                                                           |   statement => [for, (, typeId, assignOp, expr, ;, relExpr, ;, assignStat, ), statBlock, ;]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                             expr          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |
